Time,ID,D0,D1,D2,D3,D4,D5,D6,D7,Class
Z(1708496751.644783),0,0,0,0,0,0,0,0,0,T
Z(1708496751.645509),541,3,0,0,0,0,0,0,1,R
Z(1708496751.645809),52A,0,0,0,0,6,0,0,0,R
Z(1708496751.647725),316,31,17,52,0D,17,18,0,7F,R
Z(1708496751.647730),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.648042),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.648392),260,1,17,0,30,3,AF,69,9,R
Z(1708496751.648397),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.651399),2B0,35,FF,0,7,CD,2A,0,0C,R
Z(1708496751.656218),0,0,0,0,0,0,0,0,0,T
Z(1708496751.656224),0,0,0,0,0,0,0,0,0,T
Z(1708496751.656620),0,0,0,0,0,0,0,0,0,T
Z(1708496751.656625),0,0,0,0,0,0,0,0,0,T
Z(1708496751.657461),316,31,17,52,0D,17,18,0,7F,R
Z(1708496751.657659),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.657825),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.658003),260,1,17,0,30,3,AF,69,18,R
Z(1708496751.658411),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.660052),0,0,0,0,0,0,0,0,0,T
Z(1708496751.661868),2B0,35,FF,0,7,FE,0,0,E4,R
Z(1708496751.665418),0,0,0,0,0,0,0,0,0,T
Z(1708496751.667750),316,31,17,52,0D,17,18,0,7F,R
Z(1708496751.667760),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.667764),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.668015),260,1,17,0,30,3,AF,69,27,R
Z(1708496751.668446),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.668454),0,0,0,0,0,0,0,0,0,T
Z(1708496751.668687),545,B8,0,0,88,0,0,0,0,R
Z(1708496751.668957),547,2,0,72,9C,93,3A,E6,2,R
Z(1708496751.672102),2B0,35,FF,0,7,EF,3A,E6,2,R
Z(1708496751.676159),0,0,0,0,0,0,0,0,0,T
Z(1708496751.676165),0,0,0,0,0,0,0,0,0,T
Z(1708496751.676903),0,0,0,0,0,0,0,0,0,T
Z(1708496751.677195),316,31,17,56,0D,17,18,0,7F,R
Z(1708496751.677590),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.677596),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.678043),260,1,17,0,30,3,AF,69,36,R
Z(1708496751.678048),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.678380),0,0,0,0,0,0,0,0,0,T
Z(1708496751.680022),0,0,0,0,0,0,0,0,0,T
Z(1708496751.682750),2B0,35,FF,0,7,10,0,0,14,R
Z(1708496751.685383),553,0,0,0,0,1,0,0,0,R
Z(1708496751.686215),0,0,0,0,0,0,0,0,0,T
Z(1708496751.687303),316,31,17,5A,0D,17,18,0,7F,R
Z(1708496751.687641),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.687646),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.687988),260,1,17,0,30,3,AF,69,9,R
Z(1708496751.688225),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.692965),2B0,35,FF,0,7,1,2A,0,0C,R
Z(1708496751.695281),0,0,0,0,0,0,0,0,0,T
Z(1708496751.696169),0,0,0,0,0,0,0,0,0,T
Z(1708496751.696177),0,0,0,0,0,0,0,0,0,T
Z(1708496751.696823),0,0,0,0,0,0,0,0,0,T
Z(1708496751.697451),316,31,17,5A,0D,17,18,0,7F,R
Z(1708496751.697648),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.697838),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.698190),260,1,17,0,30,3,AF,69,18,R
Z(1708496751.698195),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.699932),0,0,0,0,0,0,0,0,0,T
Z(1708496751.703399),2B0,35,FF,0,7,32,0,0,4,R
Z(1708496751.707051),0,0,0,0,0,0,0,0,0,T
Z(1708496751.707853),316,31,17,64,0D,17,18,0,7F,R
Z(1708496751.707859),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.708284),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.708290),260,1,17,0,30,3,AF,69,27,R
Z(1708496751.708724),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.713763),2B0,35,FF,0,7,23,2A,0,0C,R
Z(1708496751.715442),0,0,0,0,0,0,0,0,0,T
Z(1708496751.716155),0,0,0,0,0,0,0,0,0,T
Z(1708496751.716160),0,0,0,0,0,0,0,0,0,T
Z(1708496751.716503),0,0,0,0,0,0,0,0,0,T
Z(1708496751.717818),316,31,17,62,0D,17,18,0,7F,R
Z(1708496751.717824),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.718273),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.718279),260,1,17,0,30,3,AF,67,38,R
Z(1708496751.718734),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.718739),0,0,0,0,0,0,0,0,0,T
Z(1708496751.719432),0,0,0,0,0,0,0,0,0,T
Z(1708496751.724110),2B0,35,FF,0,7,54,0,0,34,R
Z(1708496751.727283),316,31,17,62,0D,17,18,0,7F,R
Z(1708496751.727662),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.727668),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.728070),260,1,17,0,30,3,AF,67,0B,R
Z(1708496751.728075),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.728483),0,0,0,0,0,0,0,0,0,T
Z(1708496751.732700),556,32,67,5A,0D,0,24,0,2,R
Z(1708496751.732888),557,78,7B,80,80,1C,0,0,0,R
Z(1708496751.734414),2B0,35,FF,0,7,45,0,0,0,R
Z(1708496751.735195),0,0,0,0,0,0,0,0,0,T
Z(1708496751.735410),50C,0,0,0,0,4,0,0,88,R
Z(1708496751.736072),0,0,0,0,0,0,0,0,0,T
Z(1708496751.736260),0,0,0,0,0,0,0,0,0,T
Z(1708496751.736484),0,0,0,0,0,0,0,0,0,T
Z(1708496751.737426),316,31,17,62,0D,17,18,0,7F,R
Z(1708496751.737628),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.737792),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.738043),260,1,17,0,30,3,AF,67,1A,R
Z(1708496751.738337),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.739656),500,3D,94,79,0C,11,2A,0,0C,R
Z(1708496751.740003),0,0,0,0,0,0,0,0,0,T
Z(1708496751.744745),2B0,35,FF,0,7,76,0,0,24,R
Z(1708496751.745546),541,3,0,0,0,0,0,0,1,R
Z(1708496751.747407),316,31,17,5A,0D,17,18,0,7F,R
Z(1708496751.747415),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.747547),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.747994),260,1,17,0,30,3,AF,67,29,R
Z(1708496751.748198),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.748488),0,0,0,0,0,0,0,0,0,T
Z(1708496751.755150),2B0,35,FF,0,7,67,6D,2D,0,R
Z(1708496751.755990),0,0,0,0,0,0,0,0,0,T
Z(1708496751.756180),0,0,0,0,0,0,0,0,0,T
Z(1708496751.756410),0,0,0,0,0,0,0,0,0,T
Z(1708496751.756703),0,0,0,0,0,0,0,0,0,T
Z(1708496751.757388),316,31,17,54,0D,17,18,0,7F,R
Z(1708496751.757667),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.757672),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.758062),260,1,17,0,30,3,AF,69,36,R
Z(1708496751.758226),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.759961),0,0,0,0,0,0,0,0,0,T
Z(1708496751.765543),2B0,35,FF,0,7,98,0,0,54,R
Z(1708496751.767354),316,31,17,54,0D,17,18,0,7F,R
Z(1708496751.767684),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.767690),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.768145),260,1,17,0,30,3,AF,69,9,R
Z(1708496751.768151),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.768510),0,0,0,0,0,0,0,0,0,T
Z(1708496751.768743),545,B8,0,0,88,0,0,0,0,R
Z(1708496751.768913),547,2,0,72,9C,93,3A,E6,2,R
Z(1708496751.769259),0,0,0,0,0,0,0,0,0,T
Z(1708496751.776190),2B0,35,FF,0,7,89,6E,2E,0,R
Z(1708496751.776196),0,0,0,0,0,0,0,0,0,T
Z(1708496751.776199),0,0,0,0,0,0,0,0,0,T
Z(1708496751.776543),0,0,0,0,0,0,0,0,0,T
Z(1708496751.777844),316,31,17,42,0D,17,18,0,7F,R
Z(1708496751.777852),200,0C,0,0,0,0,0,0,7F,R
Z(1708496751.778162),260,1,17,0,30,3,AF,69,18,R
Z(1708496751.778388),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.778710),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.778717),0,0,0,0,0,0,0,0,0,T
Z(1708496751.779874),0,0,0,0,0,0,0,0,0,T
Z(1708496751.786176),2B0,35,FF,0,7,BA,0,0,44,R
Z(1708496751.787817),316,31,18,42,0D,17,18,0,7F,R
Z(1708496751.787822),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.788083),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.788412),260,1,17,0,30,3,AF,6B,25,R
Z(1708496751.788605),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.789863),0,0,0,0,0,0,0,0,0,T
Z(1708496751.795231),0,0,0,0,0,0,0,0,0,T
Z(1708496751.796181),0,0,0,0,0,0,0,0,0,T
Z(1708496751.796186),0,0,0,0,0,0,0,0,0,T
Z(1708496751.796474),2B0,35,FF,0,7,AB,0,0,0,R
Z(1708496751.796681),0,0,0,0,0,0,0,0,0,T
Z(1708496751.797564),316,31,18,40,0D,17,18,0,7F,R
Z(1708496751.797569),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.797734),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.798322),260,1,17,0,30,3,AF,6B,34,R
Z(1708496751.798329),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.799878),0,0,0,0,0,0,0,0,0,T
Z(1708496751.806871),2B0,35,FF,0,7,DC,0,0,74,R
Z(1708496751.807307),316,31,18,40,0D,17,18,0,7F,R
Z(1708496751.807573),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.807806),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.807991),260,1,17,0,30,3,AF,6B,7,R
Z(1708496751.808291),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.810512),0,0,0,0,0,0,0,0,0,T
Z(1708496751.815409),0,0,0,0,0,0,0,0,0,T
Z(1708496751.816216),0,0,0,0,0,0,0,0,0,T
Z(1708496751.816221),0,0,0,0,0,0,0,0,0,T
Z(1708496751.816592),0,0,0,0,0,0,0,0,0,T
Z(1708496751.817394),2B0,35,FF,0,7,CD,40,0,80,R
Z(1708496751.817402),316,31,18,46,0D,17,18,0,7F,R
Z(1708496751.817687),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.817916),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.818159),260,1,17,0,30,3,AF,6B,16,R
Z(1708496751.818370),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.818570),0,0,0,0,0,0,0,0,0,T
Z(1708496751.819918),0,0,0,0,0,0,0,0,0,T
Z(1708496751.827353),316,31,18,46,0D,17,18,0,7F,R
Z(1708496751.827589),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.827594),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.828063),260,1,17,0,30,3,AF,6B,25,R
Z(1708496751.828069),2B0,35,FF,0,7,FE,AF,6B,25,R
Z(1708496751.828436),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.828845),559,0,0,0,0,0,0,0,0,R
Z(1708496751.831204),0,0,0,0,0,0,0,0,0,T
Z(1708496751.831211),556,33,67,5A,0D,0,24,0,2,R
Z(1708496751.831510),557,77,7B,80,80,1D,0,0,0,R
Z(1708496751.835281),0,0,0,0,0,0,0,0,0,T
Z(1708496751.835289),50C,0,0,0,0,4,0,0,98,R
Z(1708496751.836194),0,0,0,0,0,0,0,0,0,T
Z(1708496751.836202),0,0,0,0,0,0,0,0,0,T
Z(1708496751.836473),0,0,0,0,0,0,0,0,0,T
Z(1708496751.837288),316,31,18,46,0D,17,18,0,7F,R
Z(1708496751.837510),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.837681),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.837929),260,1,17,0,30,3,AF,6B,34,R
Z(1708496751.838335),2B0,35,FF,0,7,EF,AF,6B,34,R
Z(1708496751.838343),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.839321),0,0,0,0,0,0,0,0,0,T
Z(1708496751.839665),500,3D,10,85,82,83,0,0,94,R
Z(1708496751.845406),541,3,0,0,0,0,0,0,1,R
Z(1708496751.845682),52A,0,0,0,0,6,0,0,0,R
Z(1708496751.848034),316,31,18,46,0D,17,18,0,7F,R
Z(1708496751.848086),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.848099),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.848110),260,1,17,0,30,3,AF,6B,7,R
Z(1708496751.848119),2B0,35,FF,0,7,10,AF,6B,7,R
Z(1708496751.848880),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.851749),0,0,0,0,0,0,0,0,0,T
Z(1708496751.856096),0,0,0,0,0,0,0,0,0,T
Z(1708496751.856324),0,0,0,0,0,0,0,0,0,T
Z(1708496751.856588),0,0,0,0,0,0,0,0,0,T
Z(1708496751.856593),0,0,0,0,0,0,0,0,0,T
Z(1708496751.857892),316,31,17,46,0D,17,18,0,7F,R
Z(1708496751.858157),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.858164),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.858476),260,1,17,0,30,3,AF,69,18,R
Z(1708496751.858727),2B0,35,FF,0,7,1,AF,69,18,R
Z(1708496751.858924),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.859868),0,0,0,0,0,0,0,0,0,T
Z(1708496751.867401),316,31,17,4C,0D,17,18,0,7F,R
Z(1708496751.867701),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.867709),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.868030),260,1,17,0,30,3,AF,69,27,R
Z(1708496751.868257),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.868520),0,0,0,0,0,0,0,0,0,T
Z(1708496751.868801),545,B8,0,0,8A,0,0,0,0,R
Z(1708496751.868808),2B0,35,FF,0,7,32,0,0,0,R
Z(1708496751.869191),547,2,0,72,9C,93,3A,E6,2,R
Z(1708496751.872556),0,0,0,0,0,0,0,0,0,T
Z(1708496751.876196),0,0,0,0,0,0,0,0,0,T
Z(1708496751.876202),0,0,0,0,0,0,0,0,0,T
Z(1708496751.876536),0,0,0,0,0,0,0,0,0,T
Z(1708496751.877413),316,31,17,4C,0D,17,18,0,7F,R
Z(1708496751.877647),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.877652),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.878020),260,1,17,0,30,3,AF,69,36,R
Z(1708496751.878264),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.878269),0,0,0,0,0,0,0,0,0,T
Z(1708496751.879168),2B0,35,FF,0,7,23,2A,0,0C,R
Z(1708496751.879858),0,0,0,0,0,0,0,0,0,T
Z(1708496751.885379),553,0,0,0,0,1,0,0,0,R
Z(1708496751.887554),316,31,17,5A,0D,17,18,0,7F,R
Z(1708496751.887802),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.887809),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.888172),260,1,17,0,30,3,AF,69,9,R
Z(1708496751.888405),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.889475),2B0,35,FF,0,7,54,2A,0,0C,R
Z(1708496751.893132),0,0,0,0,0,0,0,0,0,T
Z(1708496751.895258),0,0,0,0,0,0,0,0,0,T
Z(1708496751.896179),0,0,0,0,0,0,0,0,0,T
Z(1708496751.896185),0,0,0,0,0,0,0,0,0,T
Z(1708496751.896546),0,0,0,0,0,0,0,0,0,T
Z(1708496751.897506),316,31,17,5E,0D,17,18,0,7F,R
Z(1708496751.897709),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.897882),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.898216),260,1,17,0,30,3,AF,69,18,R
Z(1708496751.898222),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.899806),0,0,0,0,0,0,0,0,0,T
Z(1708496751.899812),2B0,35,FF,0,7,45,0,0,A4,R
Z(1708496751.907416),316,31,17,5E,0D,17,18,0,7F,R
Z(1708496751.907424),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.907758),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.908043),260,1,17,0,30,3,AF,69,27,R
Z(1708496751.908241),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.910181),2B0,35,FF,0,7,76,2A,0,0C,R
Z(1708496751.913926),0,0,0,0,0,0,0,0,0,T
Z(1708496751.915446),0,0,0,0,0,0,0,0,0,T
Z(1708496751.916159),0,0,0,0,0,0,0,0,0,T
Z(1708496751.916165),0,0,0,0,0,0,0,0,0,T
Z(1708496751.916455),0,0,0,0,0,0,0,0,0,T
Z(1708496751.917810),316,31,17,56,0D,17,18,0,7F,R
Z(1708496751.917815),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.917818),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.918238),260,1,17,0,30,3,AF,69,36,R
Z(1708496751.918248),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.918463),0,0,0,0,0,0,0,0,0,T
Z(1708496751.919706),0,0,0,0,0,0,0,0,0,T
Z(1708496751.920690),2B0,35,FF,0,7,67,0,0,D4,R
Z(1708496751.927928),316,31,17,56,0D,17,18,0,7F,R
Z(1708496751.928147),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.928154),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.928488),260,1,17,0,30,3,AF,67,0B,R
Z(1708496751.928495),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.930656),556,32,67,5A,0D,0,24,0,2,R
Z(1708496751.930662),557,77,7B,80,80,1D,0,0,0,R
Z(1708496751.930818),2B0,35,FF,0,7,98,0,0,0,R
Z(1708496751.934575),0,0,0,0,0,0,0,0,0,T
Z(1708496751.935259),0,0,0,0,0,0,0,0,0,T
Z(1708496751.935497),50C,0,0,0,0,4,0,0,A8,R
Z(1708496751.936191),0,0,0,0,0,0,0,0,0,T
Z(1708496751.936199),0,0,0,0,0,0,0,0,0,T
Z(1708496751.936561),0,0,0,0,0,0,0,0,0,T
Z(1708496751.937457),316,31,17,56,0D,17,18,0,7F,R
Z(1708496751.937687),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.937906),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.938110),260,1,17,0,30,3,AF,67,1A,R
Z(1708496751.938367),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.939759),0,0,0,0,0,0,0,0,0,T
Z(1708496751.939764),500,3D,10,D5,82,83,0,0,C4,R
Z(1708496751.941277),2B0,35,FF,0,7,89,0,0,C4,R
Z(1708496751.945467),541,3,0,0,0,0,0,0,1,R
Z(1708496751.947332),316,31,17,56,0D,17,18,0,7F,R
Z(1708496751.947543),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.947729),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.948152),260,1,17,0,30,3,AF,67,29,R
Z(1708496751.948160),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.951559),2B0,35,FF,0,7,BA,2A,0,0C,R
Z(1708496751.955161),0,0,0,0,0,0,0,0,0,T
Z(1708496751.956102),0,0,0,0,0,0,0,0,0,T
Z(1708496751.956109),0,0,0,0,0,0,0,0,0,T
Z(1708496751.956502),0,0,0,0,0,0,0,0,0,T
Z(1708496751.956508),0,0,0,0,0,0,0,0,0,T
Z(1708496751.957543),316,31,17,60,0D,17,18,0,7F,R
Z(1708496751.957758),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.957939),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.958309),260,1,17,0,30,3,AF,67,38,R
Z(1708496751.958315),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.959163),0,0,0,0,0,0,0,0,0,T
Z(1708496751.961975),2B0,35,FF,0,7,AB,0,0,F4,R
Z(1708496751.967404),316,31,17,64,0D,17,18,0,7F,R
Z(1708496751.967661),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.967668),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.968102),260,1,17,0,30,3,AF,67,0B,R
Z(1708496751.968109),329,84,94,79,0C,11,2A,0,0C,R
Z(1708496751.968483),0,0,0,0,0,0,0,0,0,T
Z(1708496751.968749),545,B8,0,0,88,0,0,0,0,R
Z(1708496751.968947),547,2,0,72,9C,93,3A,E6,2,R
Z(1708496751.972290),2B0,35,FF,0,7,DC,3A,E6,2,R
Z(1708496751.975910),0,0,0,0,0,0,0,0,0,T
Z(1708496751.976119),0,0,0,0,0,0,0,0,0,T
Z(1708496751.976485),0,0,0,0,0,0,0,0,0,T
Z(1708496751.976493),0,0,0,0,0,0,0,0,0,T
Z(1708496751.977428),316,31,17,64,0D,17,18,0,7F,R
Z(1708496751.977759),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.977765),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.978169),260,1,17,0,30,3,AF,67,1A,R
Z(1708496751.978175),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.978450),0,0,0,0,0,0,0,0,0,T
Z(1708496751.979663),0,0,0,0,0,0,0,0,0,T
Z(1708496751.982553),2B0,35,FF,0,7,CD,0,0,E4,R
Z(1708496751.987409),316,31,17,68,0D,17,18,0,7F,R
Z(1708496751.987784),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.987790),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.988089),260,1,17,0,30,3,AF,67,29,R
Z(1708496751.988337),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.992829),2B0,35,FF,0,7,FE,2A,0,0C,R
Z(1708496751.995143),0,0,0,0,0,0,0,0,0,T
Z(1708496751.996148),0,0,0,0,0,0,0,0,0,T
Z(1708496751.996157),0,0,0,0,0,0,0,0,0,T
Z(1708496751.996431),0,0,0,0,0,0,0,0,0,T
Z(1708496751.996771),0,0,0,0,0,0,0,0,0,T
Z(1708496751.997691),316,31,17,68,0D,17,18,0,7F,R
Z(1708496751.998037),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.998045),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.998356),260,1,17,0,30,3,AF,67,38,R
Z(1708496751.998572),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496751.999618),0,0,0,0,0,0,0,0,0,T
Z(1708496752.003249),2B0,35,FF,0,7,EF,0,0,14,R
Z(1708496752.007381),316,31,17,68,0D,17,18,0,7F,R
Z(1708496752.007673),18F,0,36,17,0,0,56,0,0,R
Z(1708496752.007680),200,0C,0,0,0,0,0,0,0,R
Z(1708496752.008075),260,1,17,0,30,3,AF,67,0B,R
Z(1708496752.008082),329,D1,94,79,0C,11,2A,0,0C,R
Z(1708496752.013598),2B0,35,FF,0,7,10,2A,0,0C,R
Z(1708496752.015678),0,0,0,0,0,0,0,0,0,T
Z(1708496752.016135),0,0,0,0,0,0,0,0,0,T
Z(1708496752.016142),0,0,0,0,0,0,0,0,0,T
